Run;ReleaseDate;LoadDate;spots;bases;spots_with_mates;avgLength;size_MB;AssemblyName;download_path;Experiment;LibraryName;LibraryStrategy;LibrarySelection;LibrarySource;LibraryLayout;InsertSize;InsertDev;Platform;Model;SRAStudy;BioProject;Study_Pubmed_id;ProjectID;Sample;BioSample;SampleType;TaxID;ScientificName;SampleName;g1k_pop_code;source;g1k_analysis_group;Subject_ID;Sex;Disease;Tumor;Affection_Status;Analyte_Type;Histological_Type;Body_Site;CenterName;Submission;dbgap_study_accession;Consent;RunHash;ReadHash
SRR27026733;2/12/2023 7:30;2/12/2023 7:25;1;532;1;532;0;;https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-run-936/SRR027/27026/SRR27026733/SRR27026733.1;SRX22718704;neg_PCR_1_1;AMPLICON;PCR;METAGENOMIC;PAIRED;0;0;ILLUMINA;Illumina MiSeq;SRP475428;PRJNA1032405;;1032405;SRS19709523;SAMN38016494;simple;256318;metagenome;112_093_000000_000_2847_451_01_3112;;;;;;;no;;;;;ROYAL BELGIAN INSTITUTE OF NATURAL SCIENCES;SRA1761617;;public;A074419CDE0AA106B0FEFFAF18CC9F2C;19D9F015B95B848E815D09D18CFEC0BE
SRR27026730;2/12/2023 7:30;2/12/2023 7:24;1;532;1;532;0;;https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-run-936/SRR027/27026/SRR27026730/SRR27026730.1;SRX22718707;neg_PCR_3_1;AMPLICON;PCR;METAGENOMIC;PAIRED;0;0;ILLUMINA;Illumina MiSeq;SRP475428;PRJNA1032405;;1032405;SRS19709525;SAMN38016500;simple;256318;metagenome;112_093_000000_000_2911_451_01_3112;;;;;;;no;;;;;ROYAL BELGIAN INSTITUTE OF NATURAL SCIENCES;SRA1761617;;public;E5DA1496C14F86DA94BCCC97590428BE;E2307B7FE1DE9A9849B8CBBFB50C0849
SRR27026732;2/12/2023 7:30;2/12/2023 7:24;7;3738;7;534;0;;https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-run-936/SRR027/27026/SRR27026732/SRR27026732.1;SRX22718705;neg_PCR_1_2;AMPLICON;PCR;METAGENOMIC;PAIRED;0;0;ILLUMINA;Illumina MiSeq;SRP475428;PRJNA1032405;;1032405;SRS19709522;SAMN38016495;simple;256318;metagenome;112_093_000000_000_2912_451_02_3112;;;;;;;no;;;;;ROYAL BELGIAN INSTITUTE OF NATURAL SCIENCES;SRA1761617;;public;B16DD90A6A62FDAB8B06FAEA22EB323A;AF0AD051ABCEE7A1FAC62BAA0AE6D853
SRR27026731;2/12/2023 7:30;2/12/2023 7:25;16;8544;16;534;0;;https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-run-936/SRR027/27026/SRR27026731/SRR27026731.1;SRX22718706;neg_PCR_1_3;AMPLICON;PCR;METAGENOMIC;PAIRED;0;0;ILLUMINA;Illumina MiSeq;SRP475428;PRJNA1032405;;1032405;SRS19709524;SAMN38016496;simple;256318;metagenome;112_093_000000_000_2915_451_03_3112;;;;;;;no;;;;;ROYAL BELGIAN INSTITUTE OF NATURAL SCIENCES;SRA1761617;;public;3511B5597E1DF85A98C33DDDE920B780;81663F3E147404B0C580891EBCA723B0
SRR27026729;2/12/2023 7:30;2/12/2023 7:25;13;6940;13;533;0;;https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-run-936/SRR027/27026/SRR27026729/SRR27026729.1;SRX22718708;neg_PCR_4_1;AMPLICON;PCR;METAGENOMIC;PAIRED;0;0;ILLUMINA;Illumina MiSeq;SRP475428;PRJNA1032405;;1032405;SRS19709527;SAMN38016503;simple;256318;metagenome;112_093_000000_000_2926_451_01_3112;;;;;;;no;;;;;ROYAL BELGIAN INSTITUTE OF NATURAL SCIENCES;SRA1761617;;public;4F92B1E52085C43E9634879A4F7599E6;48C5482D4F4276E0B381114E9CF165BA
SRR27026728;2/12/2023 7:30;2/12/2023 7:25;24;12816;24;534;0;;https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-run-936/SRR027/27026/SRR27026728/SRR27026728.1;SRX22718709;neg_PCR_4_2;AMPLICON;PCR;METAGENOMIC;PAIRED;0;0;ILLUMINA;Illumina MiSeq;SRP475428;PRJNA1032405;;1032405;SRS19709526;SAMN38016504;simple;256318;metagenome;112_093_000000_000_2969_451_02_3112;;;;;;;no;;;;;ROYAL BELGIAN INSTITUTE OF NATURAL SCIENCES;SRA1761617;;public;9D04101C30077000CB6650CFAFB028AB;CC44B85C3E68D67DF09727A1484ED08F
SRR27026726;2/12/2023 7:30;2/12/2023 7:25;2;1068;2;534;0;;https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-run-936/SRR027/27026/SRR27026726/SRR27026726.1;SRX22718711;neg_PCR_5_2;AMPLICON;PCR;METAGENOMIC;PAIRED;0;0;ILLUMINA;Illumina MiSeq;SRP475428;PRJNA1032405;;1032405;SRS19709529;SAMN38016507;simple;256318;metagenome;112_093_000000_000_2970_451_02_3112;;;;;;;no;;;;;ROYAL BELGIAN INSTITUTE OF NATURAL SCIENCES;SRA1761617;;public;E189CCC1339D8D60AE8A0F21E7435337;C54DCDB96686A5029C7C098F3A732419
SRR27026727;2/12/2023 7:30;2/12/2023 7:25;5;2674;5;534;0;;https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-run-936/SRR027/27026/SRR27026727/SRR27026727.1;SRX22718710;neg_PCR_4_3;AMPLICON;PCR;METAGENOMIC;PAIRED;0;0;ILLUMINA;Illumina MiSeq;SRP475428;PRJNA1032405;;1032405;SRS19709528;SAMN38016505;simple;256318;metagenome;112_093_000000_000_2972_451_03_3112;;;;;;;no;;;;;ROYAL BELGIAN INSTITUTE OF NATURAL SCIENCES;SRA1761617;;public;4CFF8A67B8F8D7328E2190224FDEEBA5;C63979DF0EDF2A44C04DC5B73A9B4AE3
SRR27026725;2/12/2023 7:30;2/12/2023 7:25;1;535;1;535;0;;https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-run-936/SRR027/27026/SRR27026725/SRR27026725.1;SRX22718712;neg_PCR_6_3;AMPLICON;PCR;METAGENOMIC;PAIRED;0;0;ILLUMINA;Illumina MiSeq;SRP475428;PRJNA1032405;;1032405;SRS19709530;SAMN38016511;simple;256318;metagenome;112_093_000000_000_2974_451_03_3112;;;;;;;no;;;;;ROYAL BELGIAN INSTITUTE OF NATURAL SCIENCES;SRA1761617;;public;9C0D915458BC96A77DE354FE27605128;185AEAB7ED5D35BE4A853BE37D409BA6
SRR27026871;2/12/2023 7:30;2/12/2023 7:25;136;72606;136;533;0;;https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR027/27026/SRR27026871/SRR27026871.lite.1;SRX22718565;ftWBB02_5_1;AMPLICON;PCR;METAGENOMIC;PAIRED;0;0;ILLUMINA;Illumina MiSeq;SRP475428;PRJNA1032405;;1032405;SRS19709383;SAMN38016272;simple;1561972;seawater metagenome;112_093_211206_999_2852_451_01_3112;;;;;;;no;;;;;ROYAL BELGIAN INSTITUTE OF NATURAL SCIENCES;SRA1761617;;public;2BDBA446F941FA8C9A7A9BB72F1EF1DD;6F73FA06F81E4981127C835BF7CBE3D9
