Run;Assay Type;AvgSpotLen;Bases;BioProject;BioSample;BioSampleModel;Bytes;Center Name;Collection_Date;Consent;DATASTORE filetype;DATASTORE provider;DATASTORE region;Depth;env_broad_scale;env_local_scale;env_medium;Experiment;geo_loc_name_country;geo_loc_name_country_continent;geo_loc_name;Instrument;lat_lon;Library Name;LibraryLayout;LibrarySelection;LibrarySource;Organism;Platform;ReleaseDate;Repeat_experiment;create_date;version;samp_collect_device;samp_mat_process;samp_size;samp_vol_we_dna_ext;Sample Name;size_frac;SRA Study;neg_cont_type;tot_depth_water_col;silicate;samp_store_dur;samp_store_loc;samp_store_temp
SRR27604493;AMPLICON;516;2581;PRJNA1032405;SAMN39326826;MIMARKS.survey,MIGS/MIMS/MIMARKS.water;64399;ROYAL BELGIAN INSTITUTE OF NATURAL SCIENCES;not applicable;public;fastq,sra;gs,ncbi,s3;gs.us-east1,ncbi.public,s3.us-east-1;not applicable;not applicable;not applicable;not applicable;SRX23272704;uncalculated;uncalculated;not applicable;Illumina MiSeq;not applicable;PCR neg 1_1_run1;PAIRED;PCR;METAGENOMIC;metagenome;ILLUMINA;2024-01-18T00:00:00Z;PCR neg 1_1_run1;2024-01-18T09:44:00Z;1;not applicable;MiFish_U/E_F-tag|MiFish_U/E_R-tag;not applicable;not applicable;112_099_0_999_4107_460_01_4161;not applicable;SRP475428;DNA-free PCR mix;not applicable;;;;
SRR27452861;AMPLICON;509;2731169;PRJNA1032405;SAMN38357842;MIMARKS.survey,MIGS/MIMS/MIMARKS.water;1654246;ROYAL BELGIAN INSTITUTE OF NATURAL SCIENCES;5/10/2022;public;fastq,run.zq,sra;gs,ncbi,s3;gs.us-east1,ncbi.public,s3.us-east-1;bottom;marine;Coastal;seawater;SRX23124792;Belgium;Europe;Belgium:North Sea;Illumina MiSeq;51.3087 N 2.85096 E;ft230_bottom_4_2;PAIRED;PCR;METAGENOMIC;seawater metagenome;ILLUMINA;2024-01-08T00:00:00Z;ft230_bottom_4_2;2024-01-08T06:01:00Z;1;Niskin caroussel;MiFish_U/E_F-tag|MiFish_U/E_R-tag;2000;570;112_099_221209_999_3465_460_02_3841;0,45;SRP475428;not applicable;11,1;;;;
SRR27452862;AMPLICON;479;2305926;PRJNA1032405;SAMN38357841;MIMARKS.survey,MIGS/MIMS/MIMARKS.water;1399190;ROYAL BELGIAN INSTITUTE OF NATURAL SCIENCES;5/10/2022;public;fastq,run.zq,sra;gs,ncbi,s3;gs.us-east1,ncbi.public,s3.us-east-1;bottom;marine;Coastal;seawater;SRX23124791;Belgium;Europe;Belgium:North Sea;Illumina MiSeq;51.3087 N 2.85096 E;ft230_bottom_4_1;PAIRED;PCR;METAGENOMIC;seawater metagenome;ILLUMINA;2024-01-08T00:00:00Z;ft230_bottom_4_1;2024-01-08T06:01:00Z;1;Niskin caroussel;MiFish_U/E_F-tag|MiFish_U/E_R-tag;2000;570;112_099_221209_999_3465_460_01_3841;0,45;SRP475428;not applicable;11,1;;;;
SRR27452863;AMPLICON;499;3853714;PRJNA1032405;SAMN38357840;MIMARKS.survey,MIGS/MIMS/MIMARKS.water;2322739;ROYAL BELGIAN INSTITUTE OF NATURAL SCIENCES;5/10/2022;public;fastq,run.zq,sra;gs,ncbi,s3;gs.us-east1,ncbi.public,s3.us-east-1;bottom;marine;Coastal;seawater;SRX23124790;Belgium;Europe;Belgium:North Sea;Illumina MiSeq;51.3087 N 2.85096 E;ft230_bottom_3_3;PAIRED;PCR;METAGENOMIC;seawater metagenome;ILLUMINA;2024-01-08T00:00:00Z;ft230_bottom_3_3;2024-01-08T06:01:00Z;1;Niskin caroussel;MiFish_U/E_F-tag|MiFish_U/E_R-tag;2000;575;112_099_221209_999_3464_460_03_3841;0,45;SRP475428;not applicable;11,1;;;;
SRR27452864;AMPLICON;390;515207;PRJNA1032405;SAMN38357765;MIMARKS.survey,MIGS/MIMS/MIMARKS.water;330034;ROYAL BELGIAN INSTITUTE OF NATURAL SCIENCES;6/10/2022;public;fastq,run.zq,sra;gs,ncbi,s3;gs.us-east1,ncbi.public,s3.us-east-1;bottom;marine;Coastal;seawater;SRX23124789;Belgium;Europe;Belgium:North Sea;Illumina MiSeq;51.15651 N 2.60694 E;ft115bis_bottom_3_3;PAIRED;PCR;METAGENOMIC;seawater metagenome;ILLUMINA;2024-01-08T00:00:00Z;ft115bis_bottom_3_3;2024-01-08T06:01:00Z;1;Niskin caroussel;MiFish_U/E_F-tag|MiFish_U/E_R-tag;2000;950;112_099_221209_999_3486_460_03_3841;0,45;SRP475428;not applicable;11,1;;;;
SRR27452865;AMPLICON;511;5412060;PRJNA1032405;SAMN38357839;MIMARKS.survey,MIGS/MIMS/MIMARKS.water;3249567;ROYAL BELGIAN INSTITUTE OF NATURAL SCIENCES;5/10/2022;public;fastq,run.zq,sra;gs,ncbi,s3;gs.us-east1,ncbi.public,s3.us-east-1;bottom;marine;Coastal;seawater;SRX23124788;Belgium;Europe;Belgium:North Sea;Illumina MiSeq;51.3087 N 2.85096 E;ft230_bottom_3_2;PAIRED;PCR;METAGENOMIC;seawater metagenome;ILLUMINA;2024-01-08T00:00:00Z;ft230_bottom_3_2;2024-01-08T06:01:00Z;1;Niskin caroussel;MiFish_U/E_F-tag|MiFish_U/E_R-tag;2000;575;112_099_221209_999_3464_460_02_3841;0,45;SRP475428;not applicable;11,1;;;;
SRR27452866;AMPLICON;505;5981713;PRJNA1032405;SAMN38357838;MIMARKS.survey,MIGS/MIMS/MIMARKS.water;3543334;ROYAL BELGIAN INSTITUTE OF NATURAL SCIENCES;5/10/2022;public;fastq,run.zq,sra;gs,ncbi,s3;gs.us-east1,ncbi.public,s3.us-east-1;bottom;marine;Coastal;seawater;SRX23124787;Belgium;Europe;Belgium:North Sea;Illumina MiSeq;51.3087 N 2.85096 E;ft230_bottom_3_1;PAIRED;PCR;METAGENOMIC;seawater metagenome;ILLUMINA;2024-01-08T00:00:00Z;ft230_bottom_3_1;2024-01-08T06:01:00Z;1;Niskin caroussel;MiFish_U/E_F-tag|MiFish_U/E_R-tag;2000;575;112_099_221209_999_3464_460_01_3841;0,45;SRP475428;not applicable;11,1;;;;
SRR27452867;AMPLICON;426;12230203;PRJNA1032405;SAMN38357837;MIMARKS.survey,MIGS/MIMS/MIMARKS.water;6739465;ROYAL BELGIAN INSTITUTE OF NATURAL SCIENCES;5/10/2022;public;fastq,run.zq,sra;gs,ncbi,s3;gs.us-east1,ncbi.public,s3.us-east-1;bottom;marine;Coastal;seawater;SRX23124786;Belgium;Europe;Belgium:North Sea;Illumina MiSeq;51.3087 N 2.85096 E;ft230_bottom_2_3;PAIRED;PCR;METAGENOMIC;seawater metagenome;ILLUMINA;2024-01-08T00:00:00Z;ft230_bottom_2_3;2024-01-08T06:02:00Z;1;Niskin caroussel;MiFish_U/E_F-tag|MiFish_U/E_R-tag;2000;560;112_099_221020_999_3468_460_03_3841;0,45;SRP475428;not applicable;11,1;;;;
SRR27452868;AMPLICON;491;14258384;PRJNA1032405;SAMN38357836;MIMARKS.survey,MIGS/MIMS/MIMARKS.water;8209536;ROYAL BELGIAN INSTITUTE OF NATURAL SCIENCES;5/10/2022;public;fastq,run.zq,sra;gs,ncbi,s3;gs.us-east1,ncbi.public,s3.us-east-1;bottom;marine;Coastal;seawater;SRX23124785;Belgium;Europe;Belgium:North Sea;Illumina MiSeq;51.3087 N 2.85096 E;ft230_bottom_2_2;PAIRED;PCR;METAGENOMIC;seawater metagenome;ILLUMINA;2024-01-08T00:00:00Z;ft230_bottom_2_2;2024-01-08T06:02:00Z;1;Niskin caroussel;MiFish_U/E_F-tag|MiFish_U/E_R-tag;2000;560;112_099_221020_999_3468_460_02_3841;0,45;SRP475428;not applicable;11,1;;;;
SRR27452869;AMPLICON;445;15714688;PRJNA1032405;SAMN38357835;MIMARKS.survey,MIGS/MIMS/MIMARKS.water;8647615;ROYAL BELGIAN INSTITUTE OF NATURAL SCIENCES;5/10/2022;public;fastq,run.zq,sra;gs,ncbi,s3;gs.us-east1,ncbi.public,s3.us-east-1;bottom;marine;Coastal;seawater;SRX23124784;Belgium;Europe;Belgium:North Sea;Illumina MiSeq;51.3087 N 2.85096 E;ft230_bottom_2_1;PAIRED;PCR;METAGENOMIC;seawater metagenome;ILLUMINA;2024-01-08T00:00:00Z;ft230_bottom_2_1;2024-01-08T06:02:00Z;1;Niskin caroussel;MiFish_U/E_F-tag|MiFish_U/E_R-tag;2000;560;112_099_221020_999_3468_460_01_3841;0,45;SRP475428;not applicable;11,1;;;;
